city,location,datetime,pm25,unit
Lahore,"Barki, Lahore",2025-09-23T21:00:00Z,74.98883374532063,µg/m³
Lahore,"Barki, Lahore",2025-09-23T22:00:00Z,87.85325113932292,µg/m³
Lahore,"Barki, Lahore",2025-09-23T23:00:00Z,92.71719487508138,µg/m³
Lahore,Lahore,2025-09-23T23:06:45Z,79.0,µg/m³
Lahore,Lahore,2025-09-23T23:24:04Z,85.62,µg/m³
Lahore,Lahore,2025-09-23T23:41:23Z,90.88,µg/m³
Lahore,Lahore,2025-09-23T23:58:43Z,97.35,µg/m³
Lahore,"Barki, Lahore",2025-09-24T00:00:00Z,97.8935006459554,µg/m³
Lahore,Lahore,2025-09-24T00:16:02Z,107.48,µg/m³
Lahore,Lahore,2025-09-24T00:33:21Z,122.29,µg/m³
Lahore,Lahore,2025-09-24T00:50:40Z,135.38,µg/m³
Lahore,"Barki, Lahore",2025-09-24T01:00:00Z,97.33750089009602,µg/m³
Lahore,Lahore,2025-09-24T01:07:59Z,146.08,µg/m³
Lahore,Lahore,2025-09-24T01:25:18Z,143.08,µg/m³
Lahore,Lahore,2025-09-24T01:42:37Z,132.35,µg/m³
Lahore,Lahore,2025-09-24T01:59:56Z,110.78,µg/m³
Lahore,"Barki, Lahore",2025-09-24T02:00:00Z,112.4069169362386,µg/m³
Lahore,Lahore,2025-09-24T02:17:15Z,105.66,µg/m³
Lahore,Lahore,2025-09-24T02:34:34Z,81.62,µg/m³
Lahore,Lahore,2025-09-24T02:51:53Z,62.84,µg/m³
Lahore,"Barki, Lahore",2025-09-24T03:00:00Z,77.50849946339925,µg/m³
Lahore,Lahore,2025-09-24T03:09:12Z,48.38,µg/m³
Lahore,Lahore,2025-09-24T03:26:31Z,43.62,µg/m³
Lahore,Lahore,2025-09-24T03:43:50Z,38.91,µg/m³
Lahore,"Barki, Lahore",2025-09-24T04:00:00Z,46.1578057607015,µg/m³
Lahore,Lahore,2025-09-24T04:01:09Z,41.41,µg/m³
Lahore,Lahore,2025-09-24T04:18:28Z,43.31,µg/m³
Lahore,Lahore,2025-09-24T04:35:46Z,41.69,µg/m³
Lahore,Lahore,2025-09-24T04:53:05Z,35.97,µg/m³
Lahore,"Barki, Lahore",2025-09-24T05:00:00Z,43.52680587768555,µg/m³
Lahore,Lahore,2025-09-24T05:10:23Z,37.53,µg/m³
Lahore,Lahore,2025-09-24T05:27:42Z,21.94,µg/m³
Lahore,Lahore,2025-09-24T05:45:00Z,25.54,µg/m³
Lahore,"Barki, Lahore",2025-09-24T06:00:00Z,40.096458435058594,µg/m³
Lahore,Lahore,2025-09-24T06:02:21Z,24.94,µg/m³
Lahore,Lahore,2025-09-24T06:19:39Z,24.09,µg/m³
Lahore,Lahore,2025-09-24T06:37:00Z,19.28,µg/m³
Lahore,Lahore,2025-09-24T06:54:17Z,17.65,µg/m³
Lahore,"Barki, Lahore",2025-09-24T07:00:00Z,35.67680565516154,µg/m³
Lahore,Lahore,2025-09-24T07:11:38Z,15.98,µg/m³
Lahore,Lahore,2025-09-24T07:28:56Z,16.52,µg/m³
Lahore,Lahore,2025-09-24T07:46:13Z,15.22,µg/m³
Lahore,"Barki, Lahore",2025-09-24T08:00:00Z,27.583458423614502,µg/m³
Lahore,Lahore,2025-09-24T08:55:26Z,19.56,µg/m³
Lahore,"Barki, Lahore",2025-09-24T09:00:00Z,26.394027551015217,µg/m³
Lahore,Lahore,2025-09-24T09:12:44Z,23.52,µg/m³
Lahore,Lahore,2025-09-24T09:30:05Z,24.98,µg/m³
Lahore,Lahore,2025-09-24T09:47:23Z,23.33,µg/m³
Lahore,"Barki, Lahore",2025-09-24T10:00:00Z,28.333263715108234,µg/m³
Lahore,Lahore,2025-09-24T10:56:36Z,17.06,µg/m³
Lahore,"Barki, Lahore",2025-09-24T11:00:00Z,29.26758321126302,µg/m³
Lahore,Lahore,2025-09-24T11:13:54Z,17.28,µg/m³
Lahore,Lahore,2025-09-24T11:31:12Z,17.96,µg/m³
Lahore,Lahore,2025-09-24T11:48:30Z,17.8,µg/m³
Lahore,"Barki, Lahore",2025-09-24T12:00:00Z,30.603984832763672,µg/m³
Lahore,Lahore,2025-09-24T12:05:48Z,25.8,µg/m³
Lahore,Lahore,2025-09-24T12:23:06Z,19.6,µg/m³
Lahore,Lahore,2025-09-24T12:40:24Z,20.24,µg/m³
Lahore,Lahore,2025-09-24T12:57:42Z,23.54,µg/m³
Lahore,"Barki, Lahore",2025-09-24T13:00:00Z,38.11825052897135,µg/m³
Lahore,Lahore,2025-09-24T13:15:01Z,27.55,µg/m³
Lahore,Lahore,2025-09-24T13:32:19Z,25.12,µg/m³
Lahore,Lahore,2025-09-24T13:49:38Z,25.43,µg/m³
Lahore,"Barki, Lahore",2025-09-24T14:00:00Z,47.89145851135254,µg/m³
Lahore,Lahore,2025-09-24T14:06:56Z,24.62,µg/m³
Lahore,Lahore,2025-09-24T14:24:14Z,23.15,µg/m³
Lahore,Lahore,2025-09-24T14:41:33Z,24.17,µg/m³
Lahore,Lahore,2025-09-24T14:58:51Z,24.34,µg/m³
Lahore,"Barki, Lahore",2025-09-24T15:00:00Z,50.6727081934611,µg/m³
Lahore,Lahore,2025-09-24T15:16:13Z,28.41,µg/m³
Lahore,Lahore,2025-09-24T15:33:32Z,39.9,µg/m³
Lahore,Lahore,2025-09-24T15:50:54Z,37.75,µg/m³
Lahore,"Barki, Lahore",2025-09-24T16:00:00Z,63.44983323415121,µg/m³
Lahore,Lahore,2025-09-24T16:08:12Z,38.19,µg/m³
Lahore,Lahore,2025-09-24T16:25:32Z,38.29,µg/m³
Lahore,Lahore,2025-09-24T16:42:52Z,40.27,µg/m³
Lahore,"Barki, Lahore",2025-09-24T17:00:00Z,65.69406986236572,µg/m³
Lahore,Lahore,2025-09-24T17:00:10Z,43.05,µg/m³
Lahore,Lahore,2025-09-24T17:17:29Z,45.01,µg/m³
Lahore,Lahore,2025-09-24T17:34:48Z,42.93,µg/m³
Lahore,Lahore,2025-09-24T17:52:07Z,46.57,µg/m³
Lahore,"Barki, Lahore",2025-09-24T18:00:00Z,69.25845877329509,µg/m³
Lahore,Lahore,2025-09-24T18:09:29Z,49.26,µg/m³
Lahore,Lahore,2025-09-24T18:26:47Z,55.77,µg/m³
Lahore,Lahore,2025-09-24T18:44:06Z,54.9,µg/m³
Lahore,"Barki, Lahore",2025-09-24T19:00:00Z,73.61865234375,µg/m³
Lahore,Lahore,2025-09-24T19:01:31Z,49.49,µg/m³
Lahore,Lahore,2025-09-24T19:18:51Z,48.66,µg/m³
Lahore,Lahore,2025-09-24T19:36:10Z,50.73,µg/m³
Lahore,Lahore,2025-09-24T19:53:30Z,49.41,µg/m³
Lahore,"Barki, Lahore",2025-09-24T20:00:00Z,76.28854115804036,µg/m³
Lahore,Lahore,2025-09-24T20:10:49Z,49.99,µg/m³
Lahore,Lahore,2025-09-24T20:28:08Z,52.45,µg/m³
Lahore,Lahore,2025-09-24T20:45:26Z,58.13,µg/m³
Lahore,"Barki, Lahore",2025-09-24T21:00:00Z,78.86686134338379,µg/m³
Lahore,Lahore,2025-09-24T21:02:48Z,60.87,µg/m³
Lahore,Lahore,2025-09-24T21:20:07Z,61.52,µg/m³
Lahore,Lahore,2025-09-24T21:37:26Z,65.26,µg/m³
Lahore,Lahore,2025-09-24T21:54:45Z,64.78,µg/m³
Lahore,"Barki, Lahore",2025-09-24T22:00:00Z,84.17358334859212,µg/m³
Lahore,Lahore,2025-09-24T22:12:04Z,63.44,µg/m³
Lahore,Lahore,2025-09-24T22:29:23Z,64.32,µg/m³
Lahore,Lahore,2025-09-24T22:46:42Z,65.35,µg/m³
Lahore,"Barki, Lahore",2025-09-24T23:00:00Z,85.12350082397461,µg/m³
Lahore,Lahore,2025-09-24T23:04:01Z,70.98,µg/m³
Lahore,Lahore,2025-09-24T23:21:20Z,74.82,µg/m³
Lahore,Lahore,2025-09-24T23:38:38Z,81.77,µg/m³
Lahore,Lahore,2025-09-24T23:55:57Z,81.02,µg/m³
Lahore,"Barki, Lahore",2025-09-25T00:00:00Z,86.3513749440511,µg/m³
Lahore,Lahore,2025-09-25T00:13:16Z,90.82,µg/m³
Lahore,Lahore,2025-09-25T00:30:38Z,94.92,µg/m³
Lahore,Lahore,2025-09-25T00:47:57Z,106.04,µg/m³
Lahore,"Barki, Lahore",2025-09-25T01:00:00Z,83.95637448628743,µg/m³
Lahore,Lahore,2025-09-25T01:05:16Z,114.6,µg/m³
Lahore,Lahore,2025-09-25T01:22:35Z,129.3,µg/m³
Lahore,Lahore,2025-09-25T01:39:55Z,122.07,µg/m³
Lahore,Lahore,2025-09-25T01:57:14Z,126.01,µg/m³
Lahore,"Barki, Lahore",2025-09-25T02:00:00Z,73.03984610239665,µg/m³
Lahore,Lahore,2025-09-25T02:14:33Z,117.1,µg/m³
Lahore,Lahore,2025-09-25T02:31:52Z,86.98,µg/m³
Lahore,Lahore,2025-09-25T02:49:10Z,57.96,µg/m³
Lahore,"Barki, Lahore",2025-09-25T03:00:00Z,47.17816607157389,µg/m³
Lahore,Lahore,2025-09-25T03:06:29Z,58.02,µg/m³
Lahore,Lahore,2025-09-25T03:23:48Z,71.08,µg/m³
Lahore,Lahore,2025-09-25T03:41:06Z,53.22,µg/m³
Lahore,Lahore,2025-09-25T03:58:28Z,48.76,µg/m³
Lahore,"Barki, Lahore",2025-09-25T04:00:00Z,33.87052774429321,µg/m³
Lahore,"Barki, Lahore",2025-09-25T05:00:00Z,26.99945831298828,µg/m³
Lahore,"Barki, Lahore",2025-09-25T06:00:00Z,28.712541739145916,µg/m³
Lahore,"Barki, Lahore",2025-09-25T07:00:00Z,28.528263727823894,µg/m³
Lahore,"Barki, Lahore",2025-09-25T08:00:00Z,18.976333300272625,µg/m³
Lahore,Lahore,2025-09-25T08:00:42Z,21.22,µg/m³
Lahore,Lahore,2025-09-25T08:17:59Z,21.28,µg/m³
Lahore,Lahore,2025-09-25T08:35:17Z,22.36,µg/m³
Lahore,Lahore,2025-09-25T08:52:34Z,21.39,µg/m³
Lahore,"Barki, Lahore",2025-09-25T09:00:00Z,18.365333159764607,µg/m³
Lahore,Lahore,2025-09-25T09:09:52Z,14.24,µg/m³
Lahore,Lahore,2025-09-25T09:27:09Z,14.58,µg/m³
Lahore,Lahore,2025-09-25T09:44:27Z,14.19,µg/m³
Lahore,"Barki, Lahore",2025-09-25T10:00:00Z,22.822333335876465,µg/m³
Lahore,Lahore,2025-09-25T10:01:44Z,13.99,µg/m³
Lahore,Lahore,2025-09-25T10:19:02Z,15.15,µg/m³
Lahore,Lahore,2025-09-25T10:36:19Z,14.76,µg/m³
Lahore,Lahore,2025-09-25T10:53:37Z,11.72,µg/m³
Lahore,"Barki, Lahore",2025-09-25T11:00:00Z,23.76404169930352,µg/m³
Lahore,Lahore,2025-09-25T11:10:55Z,11.47,µg/m³
Lahore,Lahore,2025-09-25T11:28:13Z,11.13,µg/m³
Lahore,Lahore,2025-09-25T11:45:31Z,14.49,µg/m³
Lahore,"Barki, Lahore",2025-09-25T12:00:00Z,60.69100018342335,µg/m³
Lahore,Lahore,2025-09-25T12:02:52Z,13.31,µg/m³
Lahore,Lahore,2025-09-25T12:20:10Z,32.24,µg/m³
Lahore,Lahore,2025-09-25T12:37:28Z,17.82,µg/m³
Lahore,Lahore,2025-09-25T12:54:46Z,19.73,µg/m³
Lahore,"Barki, Lahore",2025-09-25T13:00:00Z,30.282152761353384,µg/m³
Lahore,Lahore,2025-09-25T13:12:07Z,19.84,µg/m³
Lahore,Lahore,2025-09-25T13:29:25Z,20.35,µg/m³
Lahore,Lahore,2025-09-25T13:46:44Z,24.77,µg/m³
Lahore,"Barki, Lahore",2025-09-25T14:00:00Z,37.338305748833555,µg/m³
Lahore,Lahore,2025-09-25T14:04:02Z,25.38,µg/m³
Lahore,Lahore,2025-09-25T14:21:20Z,24.49,µg/m³
Lahore,Lahore,2025-09-25T14:38:39Z,30.29,µg/m³
Lahore,Lahore,2025-09-25T14:56:00Z,30.53,µg/m³
Lahore,"Barki, Lahore",2025-09-25T15:00:00Z,46.053000259399404,µg/m³
Lahore,Lahore,2025-09-25T15:13:18Z,37.62,µg/m³
Lahore,Lahore,2025-09-25T15:30:40Z,38.24,µg/m³
Lahore,Lahore,2025-09-25T15:47:59Z,52.59,µg/m³
Lahore,"Barki, Lahore",2025-09-25T16:00:00Z,50.44587535858154,µg/m³
Lahore,Lahore,2025-09-25T16:05:17Z,48.66,µg/m³
Lahore,Lahore,2025-09-25T16:22:36Z,41.58,µg/m³
Lahore,Lahore,2025-09-25T16:39:54Z,38.98,µg/m³
Lahore,Lahore,2025-09-25T16:57:12Z,38.97,µg/m³
Lahore,"Barki, Lahore",2025-09-25T17:00:00Z,51.694125175476074,µg/m³
Lahore,Lahore,2025-09-25T17:14:31Z,38.65,µg/m³
Lahore,Lahore,2025-09-25T17:31:49Z,39.7,µg/m³
Lahore,Lahore,2025-09-25T17:49:11Z,39.19,µg/m³
Lahore,"Barki, Lahore",2025-09-25T18:00:00Z,57.75741666158041,µg/m³
Lahore,Lahore,2025-09-25T18:06:29Z,42.13,µg/m³
Lahore,Lahore,2025-09-25T18:23:48Z,42.33,µg/m³
Lahore,Lahore,2025-09-25T18:41:07Z,40.54,µg/m³
Lahore,Lahore,2025-09-25T18:58:25Z,41.57,µg/m³
Lahore,"Barki, Lahore",2025-09-25T19:00:00Z,83.71654173533123,µg/m³
Lahore,Lahore,2025-09-25T19:15:44Z,41.02,µg/m³
Lahore,Lahore,2025-09-25T19:33:03Z,40.5,µg/m³
Lahore,Lahore,2025-09-25T19:50:21Z,40.9,µg/m³
