city,location,datetime,pm25,unit
Peshawar,WWF-Pakistan Peshawar Regional Office,2025-11-18T13:00:00Z,294.0,µg/m³
Peshawar,Northwest Hospital Phase V Hayatabad Peshawar,2025-11-18T13:00:00Z,378.0,µg/m³
Peshawar,Dalazak Road Peshawar,2025-11-18T13:00:00Z,315.0,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T13:00:00Z,234.0,µg/m³
Peshawar,Dalazak Road Peshawar,2025-11-18T14:00:00Z,321.0,µg/m³
Peshawar,Northwest Hospital Phase V Hayatabad Peshawar,2025-11-18T14:00:00Z,398.0,µg/m³
Peshawar,GT Road Peshawar,2025-11-18T14:00:00Z,146.5,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T14:00:00Z,234.0,µg/m³
Peshawar,Dalazak Road Peshawar,2025-11-18T15:00:00Z,301.0,µg/m³
Peshawar,Northwest Hospital Phase V Hayatabad Peshawar,2025-11-18T15:00:00Z,457.0,µg/m³
Peshawar,GT Road Peshawar,2025-11-18T15:00:00Z,145.9,µg/m³
Peshawar,WWF-Pakistan Peshawar Regional Office,2025-11-18T15:00:00Z,337.0,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T15:00:00Z,275.0,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T16:00:00Z,232.0,µg/m³
Peshawar,WWF-Pakistan Peshawar Regional Office,2025-11-18T16:00:00Z,351.0,µg/m³
Peshawar,Northwest Hospital Phase V Hayatabad Peshawar,2025-11-18T16:00:00Z,348.0,µg/m³
Peshawar,WWF-Pakistan Peshawar Regional Office,2025-11-18T17:00:00Z,347.0,µg/m³
Peshawar,Dalazak Road Peshawar,2025-11-18T17:00:00Z,422.0,µg/m³
Peshawar,GT Road Peshawar,2025-11-18T17:00:00Z,221.7,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T17:00:00Z,204.0,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T18:00:00Z,194.0,µg/m³
Peshawar,Northwest Hospital Phase V Hayatabad Peshawar,2025-11-18T18:00:00Z,380.0,µg/m³
Peshawar,WWF-Pakistan Peshawar Regional Office,2025-11-18T18:00:00Z,314.0,µg/m³
Peshawar,Dalazak Road Peshawar,2025-11-18T18:00:00Z,404.0,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T19:00:00Z,163.0,µg/m³
Peshawar,Dalazak Road Peshawar,2025-11-18T19:00:00Z,395.0,µg/m³
Peshawar,Northwest Hospital Phase V Hayatabad Peshawar,2025-11-18T19:00:00Z,300.0,µg/m³
Peshawar,GT Road Peshawar,2025-11-18T19:00:00Z,186.1,µg/m³
Peshawar,WWF-Pakistan Peshawar Regional Office,2025-11-18T20:00:00Z,247.0,µg/m³
Peshawar,GT Road Peshawar,2025-11-18T20:00:00Z,133.5,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T20:00:00Z,169.0,µg/m³
Peshawar,Dalazak Road Peshawar,2025-11-18T20:00:00Z,311.0,µg/m³
Peshawar,Dalazak Road Peshawar,2025-11-18T21:00:00Z,320.0,µg/m³
Peshawar,WWF-Pakistan Peshawar Regional Office,2025-11-18T21:00:00Z,233.0,µg/m³
Peshawar,Northwest Hospital Phase V Hayatabad Peshawar,2025-11-18T21:00:00Z,355.0,µg/m³
Peshawar,GT Road Peshawar,2025-11-18T21:00:00Z,111.8,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T21:00:00Z,155.0,µg/m³
Peshawar,WWF-Pakistan Peshawar Regional Office,2025-11-18T22:00:00Z,222.0,µg/m³
Peshawar,GT Road Peshawar,2025-11-18T22:00:00Z,86.4,µg/m³
Peshawar,Peshawar A Hayatabad,2025-11-18T22:00:00Z,114.0,µg/m³
Peshawar,Dalazak Road Peshawar,2025-11-18T22:00:00Z,239.0,µg/m³
Peshawar,WWF-Pakistan Peshawar Regional Office,2025-11-18T23:00:00Z,216.0,µg/m³
