city,location,datetime,pm25,aqi,latitude,longitude
Karachi,"Karachi US Consulate, Pakistan",2025-03-04 16:00:00+00:00,161,161,24.8415,67.0091
Karachi,"Karachi US Consulate, Pakistan (daily avg)",,138,,24.8415,67.0091
Karachi,"Karachi US Consulate, Pakistan (daily avg)",,169,,24.8415,67.0091
Karachi,"Karachi US Consulate, Pakistan (daily avg)",,225,,24.8415,67.0091
Karachi,"Karachi US Consulate, Pakistan (daily avg)",,191,,24.8415,67.0091
Karachi,"Karachi US Consulate, Pakistan (daily avg)",,137,,24.8415,67.0091
Karachi,"Karachi US Consulate, Pakistan (daily avg)",,146,,24.8415,67.0091
Karachi,"Karachi US Consulate, Pakistan (daily avg)",,148,,24.8415,67.0091
Karachi,"Karachi US Consulate, Pakistan (daily avg)",,149,,24.8415,67.0091
Lahore,"Lahore US Embassy, Pakistan",2025-02-18 18:00:00+00:00,34,34,31.560078,74.33589
Lahore,"Lahore US Embassy, Pakistan (daily avg)",,150,,31.560078,74.33589
Lahore,"Lahore US Embassy, Pakistan (daily avg)",,151,,31.560078,74.33589
Lahore,"Lahore US Embassy, Pakistan (daily avg)",,134,,31.560078,74.33589
Lahore,"Lahore US Embassy, Pakistan (daily avg)",,125,,31.560078,74.33589
Lahore,"Lahore US Embassy, Pakistan (daily avg)",,152,,31.560078,74.33589
Lahore,"Lahore US Embassy, Pakistan (daily avg)",,136,,31.560078,74.33589
Lahore,"Lahore US Embassy, Pakistan (daily avg)",,148,,31.560078,74.33589
Lahore,"Lahore US Embassy, Pakistan (daily avg)",,168,,31.560078,74.33589
Peshawar,"Peshawar US Consulate, Pakistan",2025-03-04 15:00:00+00:00,25,25,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,108,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,151,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,58,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,62,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,75,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,110,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,106,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,133,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,157,,34.00585,71.53775
