city,location,datetime,pm25,aqi,latitude,longitude
Peshawar,"Peshawar US Consulate, Pakistan",2025-03-04 15:00:00+00:00,25,25,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,108,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,151,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,58,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,62,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,75,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,110,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,106,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,133,,34.00585,71.53775
Peshawar,"Peshawar US Consulate, Pakistan (daily avg)",,157,,34.00585,71.53775
